Item(Light Tan,BerryGo,$20.99,https://www.amazon.com/BerryGo-Womens-Casual-Stretchy-Skinny/dp/B071WK7B2Z?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WK7B2Z)
Item(Black1,VLUNT,$19.99,https://www.amazon.com/VLUNT-Womens-Elegant-Solid-Color/dp/B076KD46M9?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076KD46M9)
Item(Blue Ivy Dawn,Ariat,$79.95,https://www.amazon.com/Ariat-Womens-Trouser-Jean-Blue/dp/B072N8B991?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B072N8B991)
Item(6 Pairs Black,Sock Deal,$13.99,https://www.amazon.com/Womens-Trouser-Opaque-Stretchy-Colors/dp/B076R39F5R?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076R39F5R)
Item(Dark Enzyme,NYDJ,$114.00,https://www.amazon.com/NYDJ-Womens-Teresa-Trouser-Premium/dp/B007O0BMAQ?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007O0BMAQ)
Item(Black,GRACE KARIN,$24.99,https://www.amazon.com/GRACE-KARIN-Straight-Pockets-AF1011-1/dp/B077N5R4BQ?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077N5R4BQ)
Item(Carbon Rinse,LEE,$34.90,https://www.amazon.com/LEE-Womens-Motion-Freedom-Trouser/dp/B073M22XFR?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073M22XFR)
Item(Black#2,SweatyRocks,$22.99,https://www.amazon.com/SweatyRocks-Womens-Skinny-Straight-Pockets/dp/B0751D9FCC?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0751D9FCC)
Item(Graphite,Rafaella,$36.16,https://www.amazon.com/Rafaella-Womens-Curvy-Gabardine-Graphite/dp/B005M9K6IK?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B005M9K6IK)
Item(Black,Chicwe,$46.00,https://www.amazon.com/Chicwe-Womens-Pants-Trousers-Bootcut/dp/B01M6WAJUV?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M6WAJUV)
Item(Black,Sock Deal,$14.99,https://www.amazon.com/Womens-Trouser-Socks-Opaque-Stretchy/dp/B077V57W3C?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077V57W3C)
Item(Black,Sox Market,$16.85,https://www.amazon.com/Womens-Opaque-Spandex-Trouser-Assorted/dp/B01M4P4V47?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M4P4V47)
Item(12-pack Assorted,Falari,$18.99,https://www.amazon.com/Women-Trouser-Socks-12-Pack-700-8-ASSORTED12/dp/B07575X7V1?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07575X7V1)
Item(Rinse,maurices,$49.00,https://www.amazon.com/maurices-Womens-Plus-Trouser-Rinse/dp/B0779FD5KT?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0779FD5KT)
Item(Tan,INTRIGUE,$7.90,https://www.amazon.com/INTRIGUE-Womens-Trouser-Socks-Hosiery/dp/B0757SD3DY?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0757SD3DY)
Item(Asst,Eabern,$10.59,https://www.amazon.com/Womens-Opaque-Spandex-Trouser-9-11-asst/dp/B01L6C0RDU?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01L6C0RDU)
Item(Beige,Eabern,$10.99,https://www.amazon.com/Opaque-Microfiber-Stretchy-Trouser-Socks-beige/dp/B01MYZ9ZMP?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MYZ9ZMP)
Item(Assorted,Different Touch,$10.45,https://www.amazon.com/Womens-Opaque-Spandex-Trouser-Assorted/dp/B01678Z062?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01678Z062)
Item(New Black,VIV Collection,$23.99,https://www.amazon.com/VIV-Collection-Straight-Trouser-Pants/dp/B079YMRLQK?psc=1&SubscriptionId=AKIAJVADVVC5WAOOAQHA&tag=scalaproject-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079YMRLQK)
